tipo_persona_id,sexo_victima
14114.0,Femenino
559.0,No corresponde
560.0,No corresponde
561.0,No corresponde
562.0,No corresponde
563.0,No corresponde
14115.0,Masculino
564.0,No corresponde
14116.0,Masculino
565.0,No corresponde
14117.0,Masculino
566.0,No corresponde
14118.0,Masculino
567.0,No corresponde
568.0,No corresponde
569.0,No corresponde
570.0,No corresponde
571.0,No corresponde
572.0,No corresponde
573.0,No corresponde
14119.0,Masculino
574.0,No corresponde
14120.0,Masculino
575.0,No corresponde
14121.0,Masculino
576.0,No corresponde
14122.0,Masculino
577.0,No corresponde
14123.0,Masculino
578.0,No corresponde
14124.0,Masculino
579.0,No corresponde
580.0,No corresponde
14125.0,Masculino
581.0,No corresponde
14126.0,Masculino
582.0,No corresponde
14127.0,Masculino
583.0,No corresponde
14128.0,Masculino
584.0,No corresponde
14129.0,Masculino
585.0,No corresponde
14130.0,Masculino
586.0,No corresponde
14131.0,Masculino
587.0,No corresponde
588.0,No corresponde
589.0,No corresponde
14132.0,Masculino
590.0,No corresponde
14133.0,Masculino
591.0,No corresponde
14134.0,Masculino
592.0,No corresponde
14135.0,Masculino
593.0,No corresponde
14136.0,Masculino
594.0,No corresponde
14137.0,Masculino
595.0,No corresponde
14138.0,Masculino
596.0,No corresponde
597.0,No corresponde
598.0,No corresponde
599.0,No corresponde
14139.0,Masculino
600.0,No corresponde
14140.0,Masculino
601.0,No corresponde
14141.0,Masculino
602.0,No corresponde
14142.0,Masculino
603.0,No corresponde
14143.0,Femenino
604.0,No corresponde
14144.0,Masculino
14145.0,Femenino
605.0,No corresponde
606.0,No corresponde
14146.0,Masculino
607.0,No corresponde
14147.0,Masculino
608.0,No corresponde
14148.0,Masculino
609.0,No corresponde
14149.0,Masculino
610.0,No corresponde
14150.0,Masculino
611.0,No corresponde
14151.0,Masculino
612.0,No corresponde
14152.0,Masculino
613.0,No corresponde
14153.0,Masculino
614.0,No corresponde
14154.0,Masculino
615.0,No corresponde
14155.0,Masculino
616.0,No corresponde
14156.0,Masculino
617.0,No corresponde
14157.0,Masculino
618.0,No corresponde
14158.0,Masculino
619.0,No corresponde
14159.0,Masculino
620.0,No corresponde
14160.0,Masculino
621.0,No corresponde
14161.0,Masculino
622.0,No corresponde
14162.0,Masculino
623.0,No corresponde
14163.0,Masculino
624.0,No corresponde
14164.0,Masculino
625.0,No corresponde
626.0,No corresponde
14165.0,Masculino
627.0,No corresponde
628.0,No corresponde
14166.0,Femenino
629.0,No corresponde
14167.0,Masculino
630.0,No corresponde
14168.0,Masculino
631.0,No corresponde
14169.0,Masculino
632.0,No corresponde
14170.0,Masculino
633.0,No corresponde
634.0,No corresponde
14171.0,Masculino
635.0,No corresponde
636.0,No corresponde
637.0,No corresponde
14172.0,Masculino
638.0,No corresponde
639.0,No corresponde
14173.0,Femenino
640.0,No corresponde
14174.0,Masculino
641.0,No corresponde
14175.0,Masculino
642.0,No corresponde
