tipo_persona_id,tipo_lugar,sexo_victima
581.0,Domicilio particular,
14126.0,Domicilio particular,
582.0,Vía pública,
14127.0,Vía pública,
583.0,Vía pública,
14128.0,Vía pública,
584.0,Otro lugar,
14129.0,Otro lugar,
585.0,Vía pública,
14130.0,Vía pública,
586.0,Domicilio particular,
14131.0,Domicilio particular,
587.0,Vía pública,
588.0,Vía pública,
589.0,Vía pública,
14132.0,Vía pública,
590.0,Vía pública,
14133.0,Vía pública,
591.0,Domicilio particular,
14134.0,Domicilio particular,
592.0,Vía pública,
14135.0,Vía pública,
593.0,Vía pública,
14136.0,Vía pública,
594.0,Vía pública,
14137.0,Vía pública,
595.0,Vía pública,
14138.0,Vía pública,
596.0,Vía pública,
597.0,Vía pública,
598.0,Vía pública,
599.0,Vía pública,
14139.0,Vía pública,
600.0,Vía pública,
14140.0,Vía pública,
601.0,Vía pública,
14141.0,Vía pública,
602.0,Vía pública,
14142.0,Vía pública,
603.0,Domicilio particular,
14143.0,Domicilio particular,
604.0,Domicilio particular,
14144.0,Domicilio particular,
14145.0,Domicilio particular,
605.0,Vía pública,
606.0,Vía pública,
14146.0,Vía pública,
607.0,Vía pública,
14147.0,Vía pública,
608.0,Domicilio particular,
14148.0,Domicilio particular,
609.0,Vía pública,
14149.0,Vía pública,
610.0,Vía pública,
