tipo_persona_id,motivo_origen_registro,Id_hecho
13990.0,Intervención policial,12042
381.0,Intervención policial,12043
13991.0,Intervención policial,12043
382.0,Intervención policial,12045
13992.0,Intervención policial,12045
411.0,Denuncia particular,12052
13995.0,Denuncia particular,12052
412.0,Denuncia particular,12053
13996.0,Denuncia particular,12053
413.0,Intervención policial,12054
13997.0,Intervención policial,12054
414.0,Intervención policial,12056
13998.0,Intervención policial,12056
415.0,Denuncia particular,12057
13999.0,Denuncia particular,12057
696.0,Intervención policial,12058
697.0,Intervención policial,12058
14228.0,Intervención policial,12058
416.0,Intervención policial,12060
417.0,Intervención policial,12060
418.0,Intervención policial,12060
419.0,Intervención policial,12060
14000.0,Intervención policial,12060
420.0,Denuncia particular,12062
14001.0,Denuncia particular,12062
421.0,Denuncia particular,12063
422.0,Denuncia particular,12063
14002.0,Denuncia particular,12063
423.0,Intervención policial,12064
14003.0,Intervención policial,12064
424.0,Intervención policial,12065
14004.0,Intervención policial,12065
425.0,Intervención policial,12080
14005.0,Intervención policial,12080
426.0,Intervención policial,12091
14006.0,Intervención policial,12091
427.0,Intervención policial,12092
14007.0,Intervención policial,12092
428.0,Intervención policial,12093
14008.0,Intervención policial,12093
429.0,Intervención policial,12094
14009.0,Intervención policial,12094
437.0,Intervención policial,12100
14013.0,Intervención policial,12100
430.0,Otros,12105
431.0,Otros,12105
432.0,Otros,12105
433.0,Otros,12105
14010.0,Otros,12105
434.0,Intervención policial,12109
435.0,Intervención policial,12109
14011.0,Intervención policial,12109
436.0,Intervención policial,12116
14012.0,Intervención policial,12116
438.0,Denuncia particular,12140
14014.0,Denuncia particular,12140
439.0,Denuncia particular,12145
14015.0,Denuncia particular,12145
440.0,Intervención policial,12146
14016.0,Intervención policial,12146
441.0,Intervención policial,12147
14017.0,Intervención policial,12147
442.0,Intervención policial,12148
443.0,Intervención policial,12148
444.0,Intervención policial,12148
445.0,Intervención policial,12148
14018.0,Intervención policial,12148
446.0,Intervención policial,12149
14019.0,Intervención policial,12149
447.0,Intervención policial,12150
14020.0,Intervención policial,12150
448.0,Denuncia particular,12161
14021.0,Denuncia particular,12161
449.0,Denuncia particular,12172
14022.0,Denuncia particular,12172
450.0,Intervención policial,12173
14023.0,Intervención policial,12173
451.0,Intervención policial,12174
14024.0,Intervención policial,12174
452.0,Intervención policial,12175
14025.0,Intervención policial,12175
453.0,Intervención policial,12176
14026.0,Intervención policial,12176
454.0,Intervención policial,12177
14027.0,Intervención policial,12177
455.0,Intervención policial,12178
14028.0,Intervención policial,12178
456.0,Intervención policial,12179
14029.0,Intervención policial,12179
457.0,Intervención policial,12180
14030.0,Intervención policial,12180
458.0,Intervención policial,12181
14031.0,Intervención policial,12181
459.0,Intervención policial,12182
14032.0,Intervención policial,12182
460.0,Intervención policial,12183
14033.0,Intervención policial,12183
461.0,Intervención policial,12184
14034.0,Intervención policial,12184
462.0,Intervención policial,12186
14035.0,Intervención policial,12186
463.0,Intervención policial,12187
14036.0,Intervención policial,12187
464.0,Intervención policial,12188
14037.0,Intervención policial,12188
14038.0,Intervención policial,12188
465.0,Intervención policial,12189
14039.0,Intervención policial,12189
466.0,Intervención policial,12190
14040.0,Intervención policial,12190
467.0,Intervención policial,12191
14041.0,Intervención policial,12191
468.0,Intervención policial,12192
469.0,Intervención policial,12192
14042.0,Intervención policial,12192
470.0,Intervención policial,12193
471.0,Intervención policial,12193
14043.0,Intervención policial,12193
472.0,Intervención policial,12205
14044.0,Intervención policial,12205
473.0,Intervención policial,12215
474.0,Intervención policial,12215
14045.0,Intervención policial,12215
475.0,Intervención policial,12217
14048.0,Intervención policial,12217
476.0,Intervención policial,12218
14049.0,Intervención policial,12218
477.0,Intervención policial,12219
21126.0,Intervención policial,12219
478.0,Intervención policial,12220
14050.0,Intervención policial,12220
479.0,Denuncia particular,12221
14051.0,Denuncia particular,12221
480.0,Denuncia particular,12222
14052.0,Denuncia particular,12222
481.0,Denuncia particular,12223
14053.0,Denuncia particular,12223
482.0,Denuncia particular,12224
14054.0,Denuncia particular,12224
483.0,Denuncia particular,12225
14055.0,Denuncia particular,12225
484.0,Denuncia particular,12226
14056.0,Denuncia particular,12226
485.0,Intervención policial,12227
14057.0,Intervención policial,12227
486.0,Denuncia particular,12228
14058.0,Denuncia particular,12228
487.0,Denuncia particular,12229
14059.0,Denuncia particular,12229
488.0,Intervención policial,12234
14060.0,Intervención policial,12234
489.0,Intervención policial,12235
490.0,Intervención policial,12235
